frame_index,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw
908,908,1.816000,0,1005
909,909,1.818000,0,995
910,910,1.820000,0,990
911,911,1.822000,0,997
912,912,1.824000,0,1008
913,913,1.826000,0,1009
914,914,1.828000,0,997
915,915,1.830000,0,988
916,916,1.832000,0,992
917,917,1.834000,0,1004
918,918,1.836000,0,1010
919,919,1.838000,0,1005
920,920,1.840000,0,995
921,921,1.842000,0,991
922,922,1.844000,0,995
923,923,1.846000,0,1002
924,924,1.848000,0,1004
925,925,1.850000,0,1004
926,926,1.852000,0,1002
927,927,1.854000,0,998
928,928,1.856000,0,993
929,929,1.858000,0,993
930,930,1.860000,0,1001
931,931,1.862000,0,1009
932,932,1.864000,0,1007
933,933,1.866000,0,996
934,934,1.868000,0,989
935,935,1.870000,0,995
936,936,1.872000,0,1005
937,937,1.874000,0,1008
938,938,1.876000,0,1001
939,939,1.878000,0,993
940,940,1.880000,0,994
941,941,1.882000,0,1001
942,942,1.884000,0,1004
943,943,1.886000,0,1000
944,944,1.888000,0,996
945,945,1.890000,0,998
946,946,1.892000,0,1002
947,947,1.894000,0,1002
948,948,1.896000,0,997
949,949,1.898000,0,996
950,950,1.900000,0,1002
951,951,1.902000,0,1005
952,952,1.904000,0,1000
953,953,1.906000,0,993
954,954,1.908000,0,996
955,955,1.910000,0,1005
956,956,1.912000,0,1007
957,957,1.914000,0,999
958,958,1.916000,0,992
959,959,1.918000,0,995
960,960,1.920000,0,1002
961,961,1.922000,0,1005
962,962,1.924000,0,1001
963,963,1.926000,0,997
964,964,1.928000,0,999
965,965,1.930000,0,1001
966,966,1.932000,0,999
967,967,1.934000,0,997
968,968,1.936000,0,999
969,969,1.938000,0,1004
970,970,1.940000,0,1003
971,971,1.942000,0,997
972,972,1.944000,0,995
973,973,1.946000,0,999
974,974,1.948000,0,1003
975,975,1.950000,0,1000
976,976,1.952000,0,997
977,977,1.954000,0,1001
978,978,1.956000,0,1004
979,979,1.958000,0,1000
980,980,1.960000,0,992
981,981,1.962000,0,993
982,982,1.964000,0,1004
983,983,1.966000,0,1010
984,984,1.968000,0,1001
985,985,1.970000,0,991
986,986,1.972000,0,992
987,987,1.974000,0,1003
988,988,1.976000,0,1008
989,989,1.978000,0,1001
990,990,1.980000,0,992
991,991,1.982000,0,995
992,992,1.984000,0,1003
993,993,1.986000,0,1005
994,994,1.988000,0,999
995,995,1.990000,0,995
996,996,1.992000,0,998
997,997,1.994000,0,1003
998,998,1.996000,0,1001
999,999,1.998000,0,995
1000,1000,2.000000,0,997
1001,1001,2.002000,0,1004
1002,1002,2.004000,0,1006
1003,1003,2.006000,0,997
1004,1004,2.008000,0,990
1005,1005,2.010000,0,996
1006,1006,2.012000,0,1007
1007,1007,2.014000,0,1008
1008,1008,2.016000,0,998
1009,1009,2.018000,0,991
